aphiaID,taxa_name
119369,Kuhnia spp.
119723,Spindelei
119777,Monstrillidae
119805,Monstrilla longiremis
119822,Mysidae indet
123080,Asteroidea
123081,Pentacrinoid
123082,Echinopluteus
123084,Ophiopluteus
123200,Ophiuroidea
125498,Myctophid
125516,Ammodytidae
125576,Bothidae
125606,Syngnathid
125610,Monacanthidae
125832,Protomyctophum sp.
127379,Pipefish
127520,Cypridina spp.
127533,Conchoecia spp.
127538,Euconchoecia spp.
127784,Euconchoecia aculeata
128567,Clausidiid
128569,Corycaeidae
128586,Oncaeidae
128633,Agetus spp.
128634,Corycaeus spp.
128635,Ditrichocorycaeus spp.
128636,Farranula spp.
128638,Onychocorycaeus spp.
128639,Urocorycaeus spp.
128672,Lubbockia spp.
128690,Oncaea spp.
128691,Triconia spp.
128721,Copilia spp.
128722,Sapphirina ovatolanceolata
128775,Giardella callianassae
128776,Giardella thompsoni
128795,Agetus flaccus
128796,Agetus limbatus
128797,Agetus typicus
128798,Corycaeus clausi
128799,Corycaeus crassiusculus
128800,Corycaeus speciosus
128804,Ditrichocorycaeus andrewsi
128805,Ditrichocorycaeus anglicus
128807,Ditrichocorycaeus lubbocki
128808,Ditrichocorycaeus minimus
128809,Ditrichocorycaeus subtilis
128810,Ditrichocorycaeus tenuis
128811,Farranula carinata
128812,Farranula curta
128813,Farranula gracilis
128814,Farranula rostrata
128815,Monocorycaeus robustus
128816,Onychocorycaeus catus
128817,Onychocorycaeus giesbrechti
128818,Onychocorycaeus latus
128819,Onychocorycaeus ovalis
128820,Onychocorycaeus pumilus
128821,Urocorycaeus furcifer
128822,Urocorycaeus lautus
128893,Lubbockia aculeata
128894,Lubbockia squillimana
128895,Pseudolubbockia dilatata
128926,Oncaea atlantica
128938,Oncaea media
128939,Oncaea mediterranea
128950,Oncaea scottodicarloi
128954,Oncaea venusta
128955,Oncaea zernovi
128957,Triconia conifera
129036,Copilia lata
129038,Copilia mirabilis
129039,Copilia quadrata
129041,Sapphirina angusta
129052,Sapphirina metallina
129053,Sapphirina cf
129054,Sapphirina opalina
129058,Sapphirina scarlata
129060,Sapphirina stellata
129327,Maupasia sp.
129715,Tomopteris spp.
129721,Travisiopsis spp.
129766,Vanadis longissima
130219,Pelagobia longicirrata
131580,Travisiopsis levinseni
131582,Typhloscolex muelleri
134528,Halosphaera spp.
135333,Calycophoran
135335,Physonectae
135336,Siphonophore abylidae
135338,Siphonophore diphyidae
135360,Chelophyes spp.
135364,Eudoxoides spp.
135365,Lensia spp.
135424,Eudoxoides spiralis
135531,Pandaridae
135566,Caligus spp.
136093,Squillidae
136113,Squilla sp.
137215,Doliolidae
137216,Pyrosomatidae indet
137217,Salpidae
137222,Doliolum oozoid
137224,Pyrosome
137233,Salpa thompsoni
137236,Thalia spp.
137272,Salpa fusiformis
137275,Soestia zonaria
137279,Thalia democratica
137687,Atlanta spp.
137688,Oxygyrus spp.
137746,Carinaria spp.
137750,Cavolinia spp.
137751,Clio spp.
137752,Creseis spp.
137753,Cuvierina spp.
137755,Diacria spp.
137793,Clione spp.
137797,Thliptodon spp.
138008,Firoloida spp.
138009,Pterotrachea spp.
138122,Limacina
138257,Notobranchaea spp.
138327,Peraclis spp.
138365,Pneumoderma spp.
138366,Pneumodermopsis spp. (Unidentified)
139033,Clio pyramidata
139178,Clione limacina
140227,Limacina retroversa
140824,Pneumodermopsis canephora
140825,Pneumodermopsis ciliata
140826,Pneumodermopsis paucidens
146142,Bryozoan
146420,Urochordate
146735,Bradyidius armatus
148378,Actinotroch of
148900,Small Centric Diatoms (Unidentified)
148912,Thalassiosira spp.
148917,Coscinodiscus spp. (Unidentified)
148947,Actinoptychus spp.
148985,Chaetoceros spp.
148992,Coscinodiscus concinnus
149004,Cylindrotheca closterium
149018,Diploneis spp.
149023,Ditylum brightwellii
149028,Fragilaria spp.
149033,Gyrosigma spp.
149043,Melosira varians
149050,Odontella aurita
149055,Paralia sulcata
149060,Podosira stelligera
149066,Rhaphoneis amphiceros
149069,Rhizosolenia spp.
149070,Rhizosolenia hebetata hiemalis
149071,Rhizosolenia hebetata semispina
149074,Skeletonema costatum
149084,Surirella spp.
149093,Thalassionema nitzschioides
149094,Odontella regia
149095,Odontella sinensis
149106,Leptocylindrus danicus
149112,Guinardia delicatula
149113,Guinardia striata
149115,Rhizosolenia setigera
149117,Rhizosolenia pungens
149118,Bacteriastrum spp.
149130,Eucampia spp.
149131,Eucampia zodiacus
149132,Guinardia flaccida
149135,Lauderia annulata
149139,Asterionellopsis glacialis
149142,Navicula spp.
149145,Meuniera membranacea
149150,Nitzschia longissima
149152,Pseudo-nitzschia seriata complex
149153,Pseudo-nitzschia delicatissima complex
149156,Odontella granulata
149157,Odontella rhombus
149168,Proboscia alata
149170,Triceratium favus
149176,Striatella spp.
149230,Leptocylindrus mediterraneus
149280,Aulacodiscus argus
149286,Detonula confervacea
149306,Bellerochea malleus
149309,Dactyliosolen spp.
149310,Dactyliosolen fragilissimus
149313,Fragilariopsis spp
149322,Lithodesmium undulatum
149335,Grammatophora spp.
149357,Campylosira cymbelliformis
149411,Anomoeoneis spp.
149618,Asterionellopsis kariana
149619,Cerataulina pelagica
149629,Rhizosolenia styliformis
149630,Stephanopyxis spp.
149647,Detonula pumila
149654,Actinocyclus octonarius ralfsi
149655,Biddulphia alternans
149668,Mysid
149746,Drepanopus sp.
149755,Acartia clausi
150203,Codonella spp.
150205,Cyttarocylis spp.
150305,Facetotecta cyprid
155189,Iospilidae indet
155670,Cladoceran
155686,Physosomata
155698,Platysceloidea indet
156509,Ceratium arcticum
156632,Coscinodiscus wailesii
156636,Melosira lineata
157072,Rhabdonema spp.
157083,Thalassiothrix longissima
157256,Silicoflagellates
157430,Eucampia groenlandica
157683,Tortanus spp.
157684,Tortanus discaudatus
160435,Paedoclione doliiformis
160537,Melosira arctica
160594,Pachysphaera spp.
160595,Pterosperma spp. (Total)
162254,Asteromphalus spp.
162793,Phalacroma rotundatum
162927,Bacterosira bathyomphala
162940,Odontella obtusa
162952,Biddulphia biddulphiana
163241,Guinardia cylindrus
163248,Hemiaulus spp.
163344,Pseudosolenia calcar-avis
163736,Bleakeleya notata
163780,Tintinnopsis radix
164116,Odontella mobiliensis
172431,Favella spp.
172434,Helicostomella
172815,Hexasterias problematica
177604,Trichodesmium spp.
178215,Chaetoceros dichaeta
178597,Coccolithaceae (Total)
178847,Fusopsis incertae sedis
179174,Amphiprora hyperborea
179785,Dactyliosolen antarcticus
180367,Hemidiscus cuneiformis
180759,Primno macropa
183542,Dadayiella ganymedes
183543,Eutintinnus spp.
183547,Climacocylis spp.
183548,Climacocylis scalaria
183551,Rhabdonella apophysata
183562,Epiplocylis spp.
183566,Salpingella spp.
183574,Xystonella spp.
183576,Rhabdonella spp.
196118,Oxycephalidae
196121,Caprelloidea
196768,Pacillina arctica incertae sedis
196770,Calanus marshallae V-VI
196771,Calanus pacificus V-VI
196772,Neocalanus plumchrus II
196774,Centropages abdominalis
196779,Paraeuchaeta elongata
196780,Euchaeta paraconcinna
196782,Heterorhabdus tanneri
196783,Metridia okhotensis
196784,Metridia pacifica
196786,Pontellina securifer
196788,Saphirella tropica
196792,Euchirella pseudopulchra
196793,Pontella pulvinata
196795,Undeuchaeta intermedia
196804,Climacodium frauenfeldianum
196805,Rhizosolenia acuminata
196811,Rhizosolenia bergonii
196813,Neodenticula seminae
196815,Planktoniella sol
196817,Nitzschia sigma rigida
196822,Ceratium lunula
196823,Ceratium petersii
196824,Ceratium lamellicorne
196827,Gossleriella tropica
196830,Cystodinium spp.
196831,Radiolaria Total
196832,Zoothamnium pelagicum
196834,Dictyocysta spp.
196835,Favella serrata
196837,Parafavella gigantea
196838,Ptychocylis spp.
196855,Xystonella treforti
196874,Paraeuchaeta spp.
204197,Codonellopsis spp.
205038,Synopia spp.
205653,Kelleria spp.
205900,Pseudeuphausia latifrons
205957,Rhabdosoma spp
206129,Phalacrophorus spp.
209714,Phalacrophorus pictus
211848,Calocalanus plumulosus
220834,Canthocalanus pauper
220837,Nauplii Rhincalanus
220838,Acrocalanus gracilis
220839,Acrocalanus monachus
220842,Clausocalanus minor
220843,Clausocalanus farrani
220898,Temora discaudata
220900,Pleuromamma indica
220901,Centropages orsinii
220902,Centropages elongatus
220903,Centropages gracilis
220913,Candacia catula
220914,Candacia simplex
220915,Paracandacia bispinosa
220916,Candacia truncata
220919,Calanopia minor
220921,Labidocera minuta
220924,Labidocera laevidentata
220925,Labidocera moretoni
220928,Pontellina morii
220944,Oithona attenuata
221047,Euphausia recurva
221048,Euphausia similis
221051,Euphausia spinifera
221053,Euphausia longirostris
221054,Euphausia vallentini
221055,Euphausia lucens
224185,Pleuromamma quadrungulata
225072,Pterotracheid
232028,Eurytemora pacifica
232257,Dinophysis rudgei
232261,Dinophysis sacculus
235747,Acantharia spp
235763,Rhabdonella spiralis
235764,Undella spp.
236216,Euphausia crystallorophias
236217,Euphausia superba
236218,Euphausia frigida
236219,Thysanoessa macrura
236220,Euphausia triacantha
236596,Paraphronima crassipes
236598,Parascelidae
236618,Hemityphis spp
236632,Vibilia armata
237653,Harcledo spp.
237863,Nyctiphanes australis
237965,Gaetanus tenuispinus
237966,Calocalanus tenuis
237967,Pareucalanus spp.
237968,Pareucalanus attenuatus
240441,Codonellopsis morchella
247981,Pleopis polyphemoides
248181,Proboscia truncata
254329,Epilabidocera spp
254330,Epilabidocera amphitrites
254427,Eucalanus bungii
260629,Heterophryxus appendiculatus
266258,Pseudosagitta gazellae
266545,Salpa thompsoni
266712,Aidanosagitta regularis
266854,Solidosagitta marri
325345,Pteropod
325378,Hyperiella spp.
325379,Hyperiella antarctica
325381,Themisto australis
325383,Hyperiella dilatata
325384,Themisto gaudichaudii
325387,Hyperiella macronyx
325406,Cyllopus lucasii
325407,Cyllopus magellanicus
325408,Vibilia antarctica
332607,Tomopteris carpenteri
335010,Vanadis antarctica
341238,Aetideus australis
341381,Eucampia antarctica
341397,Rhizosolenia polydactyla
341472,Chaetoceros bulbosus
341487,Odontella weissflogii
341499,Dactyliosolen tenuijunctus
341501,Proboscia inermis
341502,Rhizosolenia chunii
341506,Rhizosolenia simplex
341540,Thalassiothrix antarctica
341541,Banquisia belgicae
341542,Ephemera planamembranacea
341555,Fragilariopsis kerguelensis
341566,Nitzschia bicapitata
341579,Dinophysis antarctica
341673,Rhabdonella amor
342434,Calanoides acutus
342435,Calanus propinquus
342436,Calanus simillimus
342437,Candacia falcifera
342438,Candacia maxima
342443,Clausocalanus brevipes
342444,Clausocalanus laticeps
342449,Ctenocalanus citer
342452,Drepanopus forcipatus I-V
342468,Euchirella rostromagna
342623,Gaetanus pungens
343728,Heterorhabdus austrinus
344689,Metridia gerlachei
344701,Neocalanus tonsus
344712,Oithona frigida
344719,Oncaea curvata
344974,Paraeuchaeta antarctica
344996,Paraeuchaeta biloba
345051,Paraeuchaeta exigua
345232,Paraheterorhabdus farrani
345234,Paralabidocera antarctica
345251,Pseudoamallothrix ovata
345271,Rhincalanidae
345286,Scaphocalanus farrani
345365,Stephos longipes
345366,Subeucalanus longiceps
345368,Triconia antarctica
345491,Neocalyptrella robusta
345717,Aetideus pseudarmatus
345759,Calanoides patagoniensis
345760,Calanus australis
345777,Candacia cheirura
345778,Clausocalanus ingens
345781,Eucalanus hyalinus
345858,Spongodiscidae
345911,Parundella spp.
345933,Acartia fossae
345940,Acartia sinjiensis
345943,Acartia tonsa
346025,Acartia tumida
346026,Acartia danae
346030,Acartia negligens
346037,Acartia longiremis
346040,Acartia simplex
346042,Acartia tranteri
346049,Acartia amboinensis
