aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,taxa_name,TG_latest,unreviewed_traitValue,References,PataHunt_traitValue,filter_or_not,campbell_diet,same_or_not,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
137233,Salpa,Salpa,5233,"ForskÃ¥l, 1775",180,Genus,720267,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,NA,urn:lsid:marinespecies.org:taxname:137233,"Salpa ForskÃ¥l, 1775",Thaliacean,Salpa thompsoni agg,Salpa thompsoni,filter-feeder,omnivore; herbivore,NA,omnivore; herbivore,1,NA,NA,238.0026,1.5921803217265E-07,238.0026,0.0003020205895506,NA,NA,NA,NA,NA,NA
137275,Soestia zonaria,Iasis zonaria,5241,"(Pallas, 1774)",220,Species,158535,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Soestia,Soestia zonaria,urn:lsid:marinespecies.org:taxname:137275,"Soestia zonaria (Pallas, 1774)",Thaliacean,Soestia zonaria,Soestia zonaria,filter-feeder,not_determined,NA,not determined,1,NA,NA,10,6.68976020315115E-09,NA,NA,NA,NA,NA,NA,10,1.23306766890407E-06
137236,Thalia,Thalia,5242,"Blumenbach, 1798",180,Genus,720267,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Thalia,NA,urn:lsid:marinespecies.org:taxname:137236,"Thalia Blumenbach, 1798",Thaliacean,Thalia spp.,Thalia spp.,filter-feeder,not_determined,NA,not determined,1,NA,NA,986.3335,6.59833459533479E-07,387.3335,0.00049151854653142,NA,NA,NA,NA,599,7.38607533673537E-05
137279,Thalia democratica,Salpa democratica,5243,"(ForskÃ¥l, 1775)",220,Species,137236,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Thalia,Thalia democratica,urn:lsid:marinespecies.org:taxname:137279,"Thalia democratica (ForskÃ¥l, 1775)",Thaliacean,Thalia democratica,Thalia democratica,filter-feeder,omnivore; herbivore,NA,omnivore; herbivore,1,NA,NA,122.463,8.19248103758499E-08,122.463,0.00015540312357149,NA,NA,NA,NA,NA,NA
106087,Lepas,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Thecostraca,Scalpellomorpha,Lepadidae,Lepas,NA,urn:lsid:marinespecies.org:taxname:106087,"Lepas Linnaeus, 1758",Cirripedia,Lepas nauplii,Lepas nauplii,omnivore,not_determined,NA,not determined,0,NA,NA,142,9.49945948847463E-08,NA,NA,NA,NA,142,1.04957671472844E-07,NA,NA
135360,Chelophyes,Chelophyes,5030,"Totton, 1932",180,Genus,151532,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes,NA,urn:lsid:marinespecies.org:taxname:135360,"Chelophyes Totton, 1932",Siphonophore,Chelophyes spp.,Chelophyes spp.,carnivore,not_determined,[1],not determined,0,NA,NA,7,4.68283214220581E-09,6,7.61388126559814E-06,NA,NA,NA,NA,1,1.23306766890407E-07
135364,Eudoxoides,Eudoxoides,5064,"Huxley, 1859",180,Genus,151532,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Eudoxoides,NA,urn:lsid:marinespecies.org:taxname:135364,"Eudoxoides Huxley, 1859",Siphonophore,Eudoxoides spp.,Eudoxoides spp.,carnivore,not_determined,[1],not determined,0,NA,NA,3.9864,2.66680600738417E-09,3.9864,5.0586627128634E-06,NA,NA,NA,NA,NA,NA
135424,Eudoxoides spiralis,Eudoxoides spiralis,5066,"(Bigelow, 1911)",220,Species,135364,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Eudoxoides,Eudoxoides spiralis,urn:lsid:marinespecies.org:taxname:135424,"Eudoxoides spiralis (Bigelow, 1911)",Siphonophore,Eudoxoides spiralis,Eudoxoides spiralis,carnivore,not_determined,[1],not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
135365,Lensia,Lensia,5088,"Totton, 1932",180,Genus,151532,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,NA,urn:lsid:marinespecies.org:taxname:135365,"Lensia Totton, 1932",Siphonophore,Lensia spp.,Lensia spp.,carnivore,carnivore,[1],carnivore,0,NA,NA,1.6667,1.1149823330592E-09,0.6667,8.46029106629046E-07,NA,NA,NA,NA,1,1.23306766890407E-07
1371,Siphonophorae,Siphonophorae,5164,"Eschscholtz, 1829",100,Order,19494,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1371,"Siphonophorae Eschscholtz, 1829",Siphonophore,Siphonophore,Siphonophore,carnivore,not_determined,[1],not determined,0,NA,NA,1401.3245,9.37452487180068E-07,717.3245,0.00091027059531742,NA,NA,NA,NA,684,8.43418285530382E-05
