sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
157-19,126.6667,6,26,94.6667,22.6667,93.3334,22.6667,0.6667,0,92.6667,0,0
157-2,14.0001,8.6667,0,5.3334,0,2.6667,0,0,0,2.6667,0,0
157-20,87.3335,0,19.3334,68.0001,14.6667,67.3334,14.6667,0.6667,0,66.6667,0,0
157-21,123.3335,0,23.3334,100.0001,17.3334,98.6667,16.6667,0.6667,0.6667,98,0,0
157-22,86,4,18.0001,63.9999,17.3334,60.6666,17.3334,0,0,60.6666,0,0
157-23,98.6667,2,10.6667,86,10.6667,85.3333,10.6667,0,0,85.3333,0,0
157-24,81.3334,0,14,67.3334,14,65.3334,14,1.3334,0,64,0,0
157-25,64.6667,7.3333,11.3333,46.0001,11.3333,46.0001,11.3333,0.6667,0,45.3334,0,0
157-26,70.6668,9.3333,24.6668,36.6667,24.6668,36.6667,24.6668,0.6667,0,36,0,0
157-27,66.0001,4.6667,27.3334,34,25.3334,32.6666,25.3334,0,0,32.6666,0,0
157-28,123.3334,10,36.6667,76.6667,35.3334,74,34.6667,0,0.6667,74,0,0
157-29,60.6668,2.6667,17.3334,40.6667,16.0001,38.6667,15.3334,0,0.6667,38.6667,0,0
157-3,11.3333,3.3333,0.6667,7.3333,0,5.3333,0,0,0,5.3333,0,0
157-30,81.3333,2.6667,12.6667,65.9999,12.6667,64.6666,12.6667,0,0,64.6666,0,0
157-31,83.3334,4.6667,9.3333,69.3334,8,68.6667,8,0,0,68.6667,0,0
157-32,83.9999,10.6667,7.9999,65.3333,7.9999,64,7.9999,0,0,64,0,0
157-33,68.0001,15.3333,4.0001,48.6667,4.0001,48.6667,4.0001,0,0,48.6667,0,0
157-34,109.3334,33.3333,8.6667,67.3334,8.6667,67.3334,8.6667,0,0,67.3334,0,0
157-35,128.6667,66.6667,2,60,2,60,2,0,0,60,0,0
157-36,56.6668,22.6667,4.0001,30,3.3334,29.3333,3.3334,0,0,29.3333,0,0
157-37,79.3333,33.3333,1.3334,44.6666,1.3334,42.6666,0.6667,0,0.6667,42.6666,0,0
157-38,108.6667,26.6667,0.6667,81.3333,0.6667,81.3333,0.6667,0,0,81.3333,0,0
157-39,70.6668,10,1.3334,59.3334,1.3334,59.3334,1.3334,0,0,59.3334,0,0
157-4,16.0001,0,1.3334,14.6667,1.3334,12.6667,1.3334,0,0,12.6667,0,0
157-40,83.3333,8,0,75.3333,0,75.3333,0,0,0,75.3333,0,0
157-41,90.6667,31.3333,4,55.3334,4,55.3334,3.3333,0,0.6667,55.3334,0,0
157-42,56,22,2.6667,31.3333,2.6667,31.3333,2.6667,0,0,31.3333,0,0
157-43,48.6668,16.6667,0.6667,31.3334,0.6667,30.6667,0.6667,0,0,30.6667,0,0
157-44,47.9999,23.3333,0,24.6666,0,24.6666,0,0,0,24.6666,0,0
157-45,48.6667,13.3333,0,35.3334,0,35.3334,0,0,0,35.3334,0,0
157-46,46.0001,6.6667,6.6667,32.6667,6.6667,32.6667,6.6667,0,0,32.6667,0,0
157-47,53.3334,10.6667,4,38.6667,4,38,4,0,0,38,0,0
157-48,42.6668,14,5.3334,23.3334,5.3334,22.6667,4.6667,0,0.6667,22.6667,0,0
157-49,34.6666,12,0,22.6666,0,20.6666,0,0,0,20.6666,0,0
157-5,26.6668,0,2.0001,24.6667,1.3334,24.6667,1.3334,0,0,24.6667,0,0
157-50,36.6667,10,0,26.6667,0,26.6667,0,0,0,26.6667,0,0
157-51,34.0001,14.6667,2.6667,16.6667,2.6667,16,2.6667,0,0,16,0,0
157-52,24.6668,12.6667,1.3334,10.6667,1.3334,9.3334,1.3334,0,0,9.3334,0,0
157-53,28.0001,9.3333,0.6667,18.0001,0,17.3334,0,0,0,17.3334,0,0
157-54,34,10.6667,0.6667,22.6666,0.6667,21.3333,0.6667,0,0,21.3333,0,0
157-55,41.3334,9.3333,4.6667,27.3334,4.6667,26.6667,4.6667,0,0,26.6667,0,0
157-56,36.6667,6.6667,0.6667,29.3333,0.6667,12,0.6667,0,0,12,0,0
157-6,44.0001,1.3333,5.3334,37.3334,4.0001,37.3334,4.0001,0,0,37.3334,0,0
157-7,39.3333,0,10.6667,28.6666,10.6667,28.6666,10.6667,0,0,28.6666,0,0
157-8,34.0001,0,9.3335,24.6666,6.0001,21.3333,6.0001,0,0,21.3333,0,0
157-9,31.9999,0,12,19.9999,10,18.6666,10,0,0,18.6666,0,0
